epoch,train_loss,val_loss
1,0.3552506434740407,0.23245494845120804
2,0.17724863911914354,0.1748915424813395
3,0.12736754399715083,0.1580876406768094
4,0.11708729194089917,0.15645637249817018
5,0.11144660409576822,0.15778188601784085
6,0.1106853664363965,0.15578006831524166
7,0.1094813432064977,0.1559927501594243
8,0.1100738435467281,0.15551208510347034
9,0.10983159013166285,0.1581230769338815
10,0.11009253100445955,0.15689078200122583
11,0.10971670372798892,0.15588440762265868
12,0.10987010882189958,0.15648946214629256
13,0.10961044782606683,0.1556432242302791
14,0.11018721239254026,0.1555929570256368
15,0.10987542005311145,0.15690228326813035
16,0.10962392249614886,0.15630762416707433
17,0.10939473839532031,0.15633603104430696
18,0.10982684979196822,0.15638003603595754
19,0.10968465026062314,0.15636033354246098
20,0.11030608880342824,0.1570080287106659
21,0.10982540456375273,0.15637347579974195
22,0.11006572831532743,0.1564538004281728
23,0.1095032135743906,0.15531823395386987
24,0.10967991242904475,0.15612072870135307
25,0.1101147269479709,0.15599891008890193
26,0.11007143782064466,0.15687879053470882
27,0.10936947495187863,0.15596341957216678
28,0.10946700932218296,0.15604746495576008
29,0.11024896143981726,0.15611045645630878
30,0.10971765474665283,0.15600908045535503
