epoch,train_loss,val_loss
1,0.3610960668561482,0.24068461099396582
2,0.1770994345297908,0.162681946935861
3,0.1224358620693778,0.14565278152408806
4,0.10016724087371684,0.15825367492178213
5,0.08249288413784292,0.15086634181763814
6,0.07194125054791423,0.14523729147470515
7,0.06086018880700121,0.14530693537191205
8,0.05528718240485333,0.1507108549222998
9,0.04214506708823218,0.14828089235917383
10,0.039282716331210464,0.1458267520951188
11,0.03797357138430718,0.14769632498855176
12,0.03683744216024285,0.14877817463939605
13,0.035700405256287884,0.15056392688142217
14,0.03508871938516893,0.15207653638461363
15,0.03441612191940888,0.15320319147861522
16,0.03396332245504502,0.15487632503652055
17,0.03312281135580327,0.15437242939420368
18,0.03288885808116434,0.15544031746685505
19,0.03275443395913238,0.15423630821802045
20,0.03266650947308777,0.15610373805722463
21,0.032420713648126265,0.15430076068024273
22,0.03279073956874338,0.1559075445908567
23,0.03257401897064825,0.15441426565951627
24,0.03225359186935838,0.15540417194690392
25,0.03228013346543406,0.15488809667041767
26,0.03239082344023898,0.15528095724142116
27,0.03250258814285297,0.15568895435527616
28,0.03206698198129635,0.15593364219302716
29,0.03227243723698182,0.15552370582261812
30,0.032387353774934714,0.1557573713362217
